timestamp,height,area_3d,leaf_area_index,leaf_inclination,digital_biomass,leaf_angle,proj_area,light_pen_depth,ndvi_aver,greenness_aver,hue_aver,npci_aver,psri_aver,Genotype
17/06/2021 08:13,489573,38378516,382,139399,18789066,45836,21947861,432103,75422,29957,11576479,5817,1185,gpc020720
17/06/2021 08:13,49673,47904445,477,161536,23795562,38246,27214547,427056,73058,39332,11225933,11032,2659,gpc020720
17/06/2021 08:13,475697,43834465,436,161366,20851930,38293,2454552,412899,72314,38596,11209598,10716,301,gpc017640
17/06/2021 08:13,333132,44144902,439,131703,14706072,494,26595615,222833,72867,35293,11355036,8403,2138,gpc017640
17/06/2021 08:13,338534,43503086,433,130526,14727282,50006,26392049,24156,72745,36693,11251244,9895,2633,y24
17/06/2021 08:13,431956,43298176,431,140007,18702914,45581,26286342,358476,70192,32774,11445953,6702,2333,y24
17/06/2021 08:13,405368,4313709,429,139207,17486392,45917,28534697,275337,73305,36884,11579465,632,2218,yolo wonder
17/06/2021 08:13,387761,24539967,244,143612,9515639,44131,15780729,294271,70316,38048,11061191,13523,3431,yolo wonder
17/06/2021 08:13,266905,55569426,553,130747,14831759,49891,38623457,151334,6807,39152,10657484,18828,5676,sweet banana
17/06/2021 08:13,290394,57171102,569,126756,16602126,52083,3929584,157666,66853,37815,10530466,19147,6376,sweet banana
17/06/2021 08:13,336021,59761699,595,153962,20081186,40503,3536391,272316,70468,3882,10862832,15768,4533,y19
17/06/2021 08:13,400691,5515002,549,148789,22098106,42227,31838832,355422,67472,36442,10773666,14867,5167,y19
17/06/2021 08:13,344939,55563141,553,129556,19165872,50521,32420543,27638,61986,33052,10405577,16627,6716,y18
17/06/2021 08:13,362458,45381453,452,13842,16448860,46255,2554223,256365,63224,33552,10545961,15709,642,y18
17/06/2021 08:13,335828,31074605,309,142797,10435719,44449,18112689,281161,72685,35709,11366261,8189,311,y12
17/06/2021 08:13,306602,24055428,239,152155,73754405,41087,13225662,26409,77038,36898,11564701,5818,1539,y12
17/06/2021 08:19,384766,63404492,631,145622,24395870,43369,37916129,262781,69878,38964,1093968,14993,4067,Tequila
17/06/2021 08:19,3651,51398758,511,135316,18765678,47646,33539828,250934,70314,39605,10978175,14485,4074,Tequila
17/06/2021 08:19,455325,33267543,331,131953,15147559,49273,19796605,34894,7385,21187,11709267,276,848,cgn16951
17/06/2021 08:19,429539,23729525,236,12796,10192767,51396,14610475,357682,7397,16075,118947,626,391,cgn16951
17/06/2021 08:19,448797,37225121,37,141792,16706518,44849,20744746,367743,73418,27837,11548267,543,1363,gpc020720
17/06/2021 08:19,469556,36705887,365,172347,17235458,35465,1890218,414166,71166,38757,10913492,14448,4176,gpc020720
17/06/2021 08:19,520633,36081879,359,147867,18785406,42553,20530641,408136,68843,36973,11047774,11575,3649,gpc017640
17/06/2021 08:19,313655,37469355,373,124701,11752447,53313,22383018,207625,73192,38102,11140896,11993,2821,gpc017640
17/06/2021 08:19,349671,3867427,385,128908,13523262,50872,22267859,230472,73002,36994,11238625,10412,2615,y24
17/06/2021 08:19,439168,44509922,443,145828,19547332,43293,26251738,346967,70938,34616,11229388,8923,2767,y24
17/06/2021 08:19,45437,3061466,305,14238,13910379,44614,1892343,388374,71053,35419,1107826,10709,3407,yolo wonder
17/06/2021 08:19,453931,39214117,39,141077,17800500,45139,23256943,308311,71353,38977,10925121,14837,3898,yolo wonder
17/06/2021 08:19,306377,48387805,481,127623,14824920,51586,35046773,170701,66196,38319,10494161,20296,6632,sweet banana
17/06/2021 08:19,315191,47248637,47,129154,14892364,50738,31512525,225118,67502,37291,10675661,17399,5472,sweet banana
17/06/2021 08:19,386596,61941148,616,149973,23946174,41818,35976328,283421,69593,37537,11002039,13307,3889,y19
17/06/2021 08:19,370469,58331758,58,157754,21610080,39337,33897965,302237,69245,38189,10717426,16426,5122,y19
17/06/2021 08:19,366624,52849258,526,132145,19375814,49177,30615928,265724,63364,3477,10486704,17491,6398,y18
17/06/2021 08:19,319652,46107859,459,149839,14738457,41864,26052018,261849,59667,32528,10168768,19253,8123,y18
17/06/2021 08:19,314697,30605998,305,139315,9631628,45871,18513389,270949,7228,36513,11083829,11989,3561,y12
17/06/2021 08:19,310653,15658619,156,144676,48643925,43724,8944991,282138,73817,33322,11353154,5509,1986,y12
17/06/2021 08:40,385135,63303504,63,146807,24380388,42933,37713484,265084,69799,38947,10913326,15274,4153,Tequila
17/06/2021 08:40,365544,51756977,515,13661,18919474,47054,33482035,25148,70186,39266,10949765,14714,416,Tequila
17/06/2021 08:40,455952,33353414,332,132752,15207565,48875,19736582,348948,73853,21053,1166629,2956,832,cgn16951
17/06/2021 08:40,43087,23588568,235,12797,10163615,51391,14572484,358621,7384,15516,12003995,24,203,cgn16951
17/06/2021 08:40,44888,36822715,366,142334,16528976,44633,20595123,367178,73369,27572,11480078,5808,1518,gpc020720
17/06/2021 08:40,469901,3620509,36,17338,17012794,35222,18628516,415619,70973,38513,10893925,14293,4282,gpc020720
